method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_correct,eval_total,eval_f1
bitfit,bert-base-uncased,cola,1024,50,matthews_correlation,0.0,104450,0.09540226132861436,10.0,0.6912751677852349,0.6347035765647888,0.0,0.0,5.8816,177.331,11.221,,,
bitfit,bert-base-uncased,cola,1024,100,matthews_correlation,0.0,104450,0.09540226132861436,10.0,0.6912751677852349,0.6123052835464478,0.0,0.0,4.9299,211.565,13.388,,,
bitfit,bert-base-uncased,cola,1024,200,matthews_correlation,0.0592680243795702,104450,0.09540226132861436,10.0,0.6931927133269415,0.6132319569587708,0.0592680243795702,0.0592680243795702,6.3307,164.752,10.425,,,
bitfit,bert-base-uncased,cola,1024,500,matthews_correlation,0.23303227029913817,104450,0.09540226132861436,10.0,0.7171620325982742,0.5964890122413635,0.23303227029913817,0.23303227029913817,6.0171,173.339,10.969,,,
bitfit,bert-base-uncased,cola,1024,1000,matthews_correlation,0.39437728424991164,104450,0.09540226132861436,10.0,0.7641418983700863,0.5800455212593079,0.39437728424991164,0.39437728424991164,5.914,176.361,11.16,,,
bitfit,bert-base-uncased,cola,1024,2000,matthews_correlation,0.4552672986252464,104450,0.09540226132861436,10.0,0.7842761265580057,0.5453028082847595,0.4552672986252464,0.4552672986252464,4.4212,235.911,14.928,,,
bitfit,bert-base-uncased,cola,1024,5000,matthews_correlation,0.4967522429154307,104450,0.09540226132861436,10.0,0.7986577181208053,0.5008084774017334,0.4967522429154307,0.4967522429154307,2.9459,354.054,22.404,,,
bitfit,bert-base-uncased,cola,123,50,matthews_correlation,0.0,104450,0.09540226132861436,10.0,0.6912751677852349,0.6242603063583374,0.0,0.0,4.5371,229.881,14.547,,,
bitfit,bert-base-uncased,cola,123,100,matthews_correlation,0.023866594389197564,104450,0.09540226132861436,10.0,0.6883988494726749,0.672732412815094,0.023866594389197564,0.023866594389197564,4.2606,244.803,15.491,,,
bitfit,bert-base-uncased,cola,123,200,matthews_correlation,0.12090503432873272,104450,0.09540226132861436,10.0,0.6960690316395014,0.6265411376953125,0.12090503432873272,0.12090503432873272,5.7651,180.915,11.448,,,
bitfit,bert-base-uncased,cola,123,500,matthews_correlation,0.24827621061944255,104450,0.09540226132861436,10.0,0.7229146692233941,0.6373146176338196,0.24827621061944255,0.24827621061944255,5.9215,176.138,11.146,,,
bitfit,bert-base-uncased,cola,123,1000,matthews_correlation,0.33504783545968364,104450,0.09540226132861436,10.0,0.7459252157238735,0.6314748525619507,0.33504783545968364,0.33504783545968364,5.0839,205.157,12.982,,,
bitfit,bert-base-uncased,cola,123,2000,matthews_correlation,0.4326292784366391,104450,0.09540226132861436,10.0,0.7766059443911792,0.5975778102874756,0.4326292784366391,0.4326292784366391,6.97,149.642,9.469,,,
bitfit,bert-base-uncased,cola,123,5000,matthews_correlation,0.4966579188966687,104450,0.09540226132861436,10.0,0.7986577181208053,0.5274743437767029,0.4966579188966687,0.4966579188966687,3.5429,294.393,18.629,,,
bitfit,bert-base-uncased,cola,42,50,matthews_correlation,-0.020702674026557004,104450,0.09540226132861436,10.0,0.6903163950143816,0.6240410804748535,-0.020702674026557004,-0.020702674026557004,2.577,404.733,25.611,,,
bitfit,bert-base-uncased,cola,42,100,matthews_correlation,0.018148342420931135,104450,0.09540226132861436,10.0,0.6912751677852349,0.6417949199676514,0.018148342420931135,0.018148342420931135,4.1616,250.627,15.859,,,
bitfit,bert-base-uncased,cola,42,200,matthews_correlation,0.07322182788833125,104450,0.09540226132861436,10.0,0.6941514860977949,0.6989279389381409,0.07322182788833125,0.07322182788833125,5.4082,192.856,12.204,,,
bitfit,bert-base-uncased,cola,42,500,matthews_correlation,0.2808231208963771,104450,0.09540226132861436,10.0,0.7305848513902206,0.6871466636657715,0.2808231208963771,0.2808231208963771,5.8282,178.956,11.324,,,
